base, f3, f5, f6, f7, f8, ;17189
base, f3, f4, f5, f6, f7, f8, ;19191,5
base, f3, f5, f6, f7, f8, f9, ;17299
base, f3, f4, f5, f6, f7, f8, f9, ;19294,5
base, f2Alternative, ;6123,5
base, f2Alternative, f9, ;6167,5
base, f2Alternative, f8, ;6338,5
base, f2Alternative, f8, f9, ;6387
base, f2Alternative, f7, ;8222,5
base, f2Alternative, f7, f8, ;8439,5
base, f2Alternative, f7, f9, ;8269,5
base, f2Alternative, f7, f8, f9, ;8487,5
base, f2Alternative, f6, ;7569,5
base, f2Alternative, f6, f9, ;7669
base, f2Alternative, f6, f7, ;14973
base, f2Alternative, f6, f7, f9, ;15068,5
base, f2Alternative, f6, f8, ;7989
base, f2Alternative, f6, f7, f8, ;15390
base, f2Alternative, f6, f8, f9, ;8088
base, f2Alternative, f6, f7, f8, f9, ;15489,5
base, f2Alternative, f5, ;6718
base, f2Alternative, f5, f9, ;6767
base, f2Alternative, f5, f8, ;6938,5
base, f2Alternative, f5, f8, f9, ;6991,5
base, f2Alternative, f5, f6, ;8468
base, f2Alternative, f5, f6, f8, ;8896,5
base, f2Alternative, f5, f6, f9, ;8570,5
base, f2Alternative, f5, f6, f8, f9, ;8996
base, f2Alternative, f5, f7, ;10018
base, f2Alternative, f5, f7, f9, ;10067,5
base, f2Alternative, f5, f6, f7, ;18269,5
base, f2Alternative, f5, f6, f7, f9, ;18375,5
base, f2Alternative, f5, f7, f8, ;10242
base, f2Alternative, f5, f6, f7, f8, ;18692
base, f2Alternative, f5, f7, f8, f9, ;10290,5
base, f2Alternative, f5, f6, f7, f8, f9, ;18790,5
base, f2Alternative, f3, ;8729,5
base, f2Alternative, f3, f9, ;8779,5
base, f2Alternative, f3, f8, ;8948,5
base, f2Alternative, f3, f8, f9, ;9000,5
base, f2Alternative, f3, f7, ;10837
base, f2Alternative, f3, f7, f8, ;11050
base, f2Alternative, f3, f7, f9, ;10881
base, f2Alternative, f3, f7, f8, f9, ;11099
base, f2Alternative, f3, f5, ;9329,5
base, f2Alternative, f3, f5, f9, ;9380
base, f2Alternative, f3, f5, f7, ;12629,5
base, f2Alternative, f3, f5, f7, f9, ;12730,5
base, f2Alternative, f3, f5, f8, ;9688,5
base, f2Alternative, f3, f5, f7, f8, ;12874
base, f2Alternative, f3, f5, f8, f9, ;9620,5
base, f2Alternative, f3, f5, f7, f8, f9, ;12920,5
base, f2Alternative, f3, f6, ;11302
base, f2Alternative, f3, f6, f9, ;11383,5
base, f2Alternative, f3, f6, f8, ;11862
base, f2Alternative, f3, f6, f8, f9, ;12004
base, f2Alternative, f3, f5, f6, ;12430,5
base, f2Alternative, f3, f5, f6, f8, ;13186,5
base, f2Alternative, f3, f5, f6, f9, ;12600
base, f2Alternative, f3, f5, f6, f8, f9, ;13217,5
base, f2Alternative, f3, f6, f7, ;22343,5
base, f2Alternative, f3, f6, f7, f9, ;22486,5
base, f2Alternative, f3, f5, f6, f7, ;27133
base, f2Alternative, f3, f5, f6, f7, f9, ;27308,5
base, f2Alternative, f3, f6, f7, f8, ;22968
